name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,lo10net,log10hw,computing_power,comments,(BOX AP),(AP50),(AP75),(APS),(APM),(APL)
"ISTR (ResNet101-FPN-3x, multi-scale)",2021,,ISTR: End-to-End Instance Segmentation with Transformers,/paper/istr-end-to-end-instance-segmentation-with,https://arxiv.org/abs/2105.00637v2,,,3,,118000,COCO test_dev,,,,GeForce GTX 1080 Ti,1,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.10,,,28.7,50.4,61.5
"MatrixNet Corners (ResNeXt-101-X, multi-scale)",2019,,Matrix Nets: A New Deep Architecture for Object Detection,/paper/matrix-nets-a-new-deep-architecture-for,https://arxiv.org/abs/1908.04646v2,,,3,,118000,COCO test_dev,,,,GeForce Titan Xp,4,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.80,66.2,52.3,29.7,50.4,60.7
"PANet (ResNeXt-101, multi-scale)",2018,,Path Aggregation Network for Instance Segmentation,/paper/path-aggregation-network-for-instance,http://openaccess.thecvf.com/content_cvpr_2018/html/Liu_Path_Aggregation_Network_CVPR_2018_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.40,67.2,51.8,30.1,51.7,60
"SAPD (ResNeXt-101, single-scale)",2019,,Soft Anchor-Point Object Detection,/paper/soft-anchor-point-object-detection,https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/721_ECCV_2020_paper.php,,,3,,118000,COCO test_dev,,,,GeForce GTX 1080 Ti,8,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.40,67.4,51.1,28.1,50.3,61.5
HTC (HRNetV2p-W48),2019,1.22E+08,Deep High-Resolution Representation Learning for Visual Recognition,/paper/190807919,https://arxiv.org/abs/1908.07919v2,7.17E+11,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.30,65.9,51.2,28,49.7,59.8
HTC (ResNeXt-101-FPN),2019,,Hybrid Task Cascade for Instance Segmentation,/paper/hybrid-task-cascade-for-instance-segmentation,http://openaccess.thecvf.com/content_CVPR_2019/html/Chen_Hybrid_Task_Cascade_for_Instance_Segmentation_CVPR_2019_paper.html,,,3,20,118000,COCO test_dev,,,,GeForce Titan Xp,16,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.10,63.9,44.7,22.8,43.9,54.6
"CenterNet511 (Hourglass-104, multi-scale)",2019,,CenterNet: Keypoint Triplets for Object Detection,/paper/centernet-object-detection-with-keypoint,http://openaccess.thecvf.com/content_ICCV_2019/html/Duan_CenterNet_Keypoint_Triplets_for_Object_Detection_ICCV_2019_paper.html,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,64.5,50.7,28.9,49.9,58.9
"MAL (ResNeXt101, multi-scale)",2019,,Multiple Anchor Learning for Visual Object Detection,/paper/multiple-anchor-learning-for-visual-object,http://openaccess.thecvf.com/content_CVPR_2020/html/Ke_Multiple_Anchor_Learning_for_Visual_Object_Detection_CVPR_2020_paper.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,,,,,
"RPDet (ResNet-101-DCN, multi-scale)",2019,,RepPoints: Point Set Representation for Object Detection,/paper/reppoints-point-set-representation-for-object,http://openaccess.thecvf.com/content_ICCV_2019/html/Yang_RepPoints_Point_Set_Representation_for_Object_Detection_ICCV_2019_paper.html,,,3,,118000,COCO test_dev,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.50,67.4,50.9,30.3,49.7,57.1
HoughNet (MS),2020,,HoughNet: Integrating near and long-range evidence for bottom-up object detection,/paper/houghnet-integrating-near-and-long-range,https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/5063_ECCV_2020_paper.php,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,4,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.40,65.1,50.7,29.1,48.5,58.1
"PPDet (ResNeXt-101-FPN, multiscale)",2020,,Reducing Label Noise in Anchor-Free Object Detection,/paper/reducing-label-noise-in-anchor-free-object,https://arxiv.org/abs/2008.01167v2,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,4,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.30,64.8,51.6,31.4,49.9,56.4
"DCNv2 (ResNet-101, multi-scale)",2018,,"Deformable ConvNets v2: More Deformable, Better Results",/paper/deformable-convnets-v2-more-deformable-better,http://openaccess.thecvf.com/content_CVPR_2019/html/Zhu_Deformable_ConvNets_V2_More_Deformable_Better_Results_CVPR_2019_paper.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,67.9,50.8,27.8,49.1,59.5
Gaussian-FCOS,2020,,Localization Uncertainty Estimation for Anchor-Free Object Detection,/paper/localization-uncertainty-estimation-for,https://arxiv.org/abs/2006.15607v4,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,,,,,
"Cascade R-CNN-FPN (ResNet-101, map-guided)",2019,,InstaBoost: Boosting Instance Segmentation via Probability Map Guided Copy-Pasting,/paper/instaboost-boosting-instance-segmentation-via,http://openaccess.thecvf.com/content_ICCV_2019/html/Fang_InstaBoost_Boosting_Instance_Segmentation_via_Probability_Map_Guided_Copy-Pasting_ICCV_2019_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.90,64.2,50,26.3,49,58.6
CenterMask+VoVNetV2-99 (single-scale),2019,,CenterMask : Real-Time Anchor-Free Instance Segmentation,/paper/centermask-real-time-anchor-free-instance-1,https://arxiv.org/abs/1911.06667v6,,,3,,118000,COCO test_dev,,,,GeForce Titan Xp,1,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.80,64.5,,27.8,48.3,57.6
PP-YOLO (608x608),2020,,PP-YOLO: An Effective and Efficient Implementation of Object Detector,/paper/pp-yolo-an-effective-and-efficient,https://arxiv.org/abs/2007.12099v3,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.20,65.2,49.9,26.3,47.8,57.2
"AC-FPN Cascade R-CNN(ResNet-101, single scale)",2019,,Attention-guided Context Feature Pyramid Network for Object Detection,/paper/attention-guided-context-feature-pyramid,https://arxiv.org/abs/2005.11475v1,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,64.4,49,26.9,47.7,56.6
FreeAnchor (ResNeXt-101),2019,,FreeAnchor: Learning to Match Anchors for Visual Object Detection,/paper/freeanchor-learning-to-match-anchors-for,http://papers.nips.cc/paper/8309-freeanchor-learning-to-match-anchors-for-visual-object-detection,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.80,64.3,48.4,27,47.9,56
FCOS (ResNeXt-64x4d-101-FPN 4 + improvements),2019,,FCOS: Fully Convolutional One-Stage Object Detection,/paper/fcos-fully-convolutional-one-stage-object,http://openaccess.thecvf.com/content_ICCV_2019/html/Tian_FCOS_Fully_Convolutional_One-Stage_Object_Detection_ICCV_2019_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.70,64.1,48.4,27.6,47.5,55.6
"FSAF (ResNeXt-101, multi-scale)",2019,,Feature Selective Anchor-Free Module for Single-Shot Object Detection,/paper/feature-selective-anchor-free-module-for,http://openaccess.thecvf.com/content_CVPR_2019/html/Zhu_Feature_Selective_Anchor-Free_Module_for_Single-Shot_Object_Detection_CVPR_2019_paper.html,,,3,,118000,COCO test_dev,,,,GeForce Titan X,8,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.60,65.2,48.6,29.7,47.1,54.6
YOLOF-DC5,2021,,You Only Look One-level Feature,/paper/you-only-look-one-level-feature,http://openaccess.thecvf.com//content/CVPR2021/html/Chen_You_Only_Look_One-Level_Feature_CVPR_2021_paper.html,,,3,,118000,COCO test_dev,,,,GeForce RTX 2080 Ti,8,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.30,62.9,47.5,24,48.5,60.4
FoveaBox (ResNeXt-101),2019,,FoveaBox: Beyond Anchor-based Object Detector,/paper/foveabox-beyond-anchor-based-object-detector,https://arxiv.org/abs/1904.03797v2,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,4,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.90,63.5,47.7,26.8,46.9,55.6
YOLOv3 @800 + ASFF* (Darknet-53),2019,,Learning Spatial Fusion for Single-Shot Object Detection,/paper/learning-spatial-fusion-for-single-shot,https://arxiv.org/abs/1911.09516v2,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,4,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.90,64.1,49.2,27,46.6,53.4
Faster R-CNN (LIP-ResNet-101-MD w FPN),2019,,LIP: Local Importance-based Pooling,/paper/lip-local-importance-based-pooling,http://openaccess.thecvf.com/content_ICCV_2019/html/Gao_LIP_Local_Importance-Based_Pooling_ICCV_2019_paper.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.90,65.7,48.1,25.4,46.7,56.3
"ExtremeNet (Hourglass-104, multi-scale)",2019,,Bottom-up Object Detection by Grouping Extreme and Center Points,/paper/bottom-up-object-detection-by-grouping,http://openaccess.thecvf.com/content_CVPR_2019/html/Zhou_Bottom-Up_Object_Detection_by_Grouping_Extreme_and_Center_Points_CVPR_2019_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.70,60.5,47,24.1,46.9,57.6
"RefineDet512 (VoVNet-57, multi-scale)",2019,6.30E+07,An Energy and GPU-Computation Efficient Backbone Network for Real-Time Object Detection,,https://arxiv.org/pdf/1904.09730v1.pdf,,,3,90,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.60,64.9,47.7,27.2,46.9,55.6
YOLOv4-608,2020,,YOLOv4: Optimal Speed and Accuracy of Object Detection,/paper/yolov4-optimal-speed-and-accuracy-of-object,https://arxiv.org/abs/2004.10934v1,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.50,65.7,47.3,26.7,46.7,53.3
CornerNet-Saccade,2019,,CornerNet-Lite: Efficient Keypoint Based Object Detection,/paper/190408900,https://arxiv.org/abs/1904.08900v2,,,3,,118000,COCO test_dev,,,,GeForce GTX 1080 Ti,4,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.20,,,24.4,44.6,57.3
Grid R-CNN (ResNeXt-101-FPN),2018,,Grid R-CNN,/paper/grid-r-cnn,http://openaccess.thecvf.com/content_CVPR_2019/html/Lu_Grid_R-CNN_CVPR_2019_paper.html,,,3,20,118000,COCO test_dev,,,,GeForce Titan Xp,32,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.20,63,46.6,25.1,46.5,55.2
Libra R-CNN (ResNeXt-101-FPN),2019,,Libra R-CNN: Towards Balanced Learning for Object Detection,/paper/libra-r-cnn-towards-balanced-learning-for,http://openaccess.thecvf.com/content_CVPR_2019/html/Pang_Libra_R-CNN_Towards_Balanced_Learning_for_Object_Detection_CVPR_2019_paper.html,,,3,12,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,64,47,25.3,45.6,54.6
"Cascade R-CNN (ResNet-101-FPN+, cascade)",2017,,Cascade R-CNN: Delving into High Quality Object Detection,/paper/cascade-r-cnn-delving-into-high-quality,http://openaccess.thecvf.com/content_cvpr_2018/html/Cai_Cascade_R-CNN_Delving_CVPR_2018_paper.html,,,3,,118000,COCO test_dev,,,,GeForce Titan Xp,,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80,62.1,46.3,23.7,45.5,55.2
"HSD (Rest101, 768x768, single-scale test)",2019,,Hierarchical Shot Detector,/paper/hierarchical-shot-detector,http://openaccess.thecvf.com/content_ICCV_2019/html/Cao_Hierarchical_Shot_Detector_ICCV_2019_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.30,61.2,46.9,22.8,47.3,55.9
"CornerNet511 (Hourglass-104, multi-scale)",2018,,CornerNet: Detecting Objects as Paired Keypoints,/paper/cornernet-detecting-objects-as-paired,http://openaccess.thecvf.com/content_ECCV_2018/html/Hei_Law_CornerNet_Detecting_Objects_ECCV_2018_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20,57.8,45.3,20.8,44.8,56.7
PAFNet (ResNet50-vd),2021,1.72E+07,PAFNet: An Efficient Anchor-Free Object Detector Guidance,/paper/pafnet-an-efficient-anchor-free-object,https://arxiv.org/abs/2104.13534v1,7.52E+10,,3,140,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73E+18,,18.57140689,,2.21E+19,,42.20,59.8,45.3,22.8,45.8,59.2
RefineDet512+ (ResNet-101),2017,,Single-Shot Refinement Neural Network for Object Detection,/paper/single-shot-refinement-neural-network-for,http://openaccess.thecvf.com/content_cvpr_2018/html/Zhang_Single-Shot_Refinement_Neural_CVPR_2018_paper.html,,,3,,118000,COCO test_dev,,,,GeForce Titan X,1,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.80,62.9,45.7,25.6,45.1,54.1
GHM-C + GHM-R (RetinaNet-FPN-ResNeXt-101),2018,,Gradient Harmonized Single-stage Detector,/paper/gradient-harmonized-single-stage-detector,https://arxiv.org/abs/1811.05181v1,,,3,14,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.60,62.8,44.2,22.3,45.1,55.3
VirTex Mask R-CNN (ResNet-50-FPN),2020,,VirTex: Learning Visual Representations from Textual Annotations,/paper/virtex-learning-visual-representations-from,http://openaccess.thecvf.com//content/CVPR2021/html/Desai_VirTex_Learning_Visual_Representations_From_Textual_Annotations_CVPR_2021_paper.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.90,61.7,44.8,,,
RetinaNet (ResNeXt-101-FPN),2018,,Focal Loss for Dense Object Detection,/paper/focal-loss-for-dense-object-detection,http://openaccess.thecvf.com/content_iccv_2017/html/Lin_Focal_Loss_for_ICCV_2017_paper.html,,,3,,118000,COCO test_dev,,,,Tesla M40,8,6.84E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.80,61.1,44.1,24.1,44.2,51.2
IoU-Net,2018,,Acquisition of Localization Confidence for Accurate Object Detection,/paper/acquisition-of-localization-confidence-for,http://openaccess.thecvf.com/content_ECCV_2018/html/Borui_Jiang_Acquisition_of_Localization_ECCV_2018_paper.html,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.60,,,,,
ResNet-50-DW-DPN (Deformable Kernels),2019,,Deformable Kernels: Adapting Effective Receptive Fields for Object Deformation,/paper/deformable-kernels-adapting-effective,https://openreview.net/forum?id=SkxSv6VFvS,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.60,,,24.6,43.9,53.3
ResNet-50-FPN Mask R-CNN + KL Loss + var voting + soft-NMS,2018,,Bounding Box Regression with Uncertainty for Accurate Object Detection,/paper/softer-nms-rethinking-bounding-box-regression,http://openaccess.thecvf.com/content_CVPR_2019/html/He_Bounding_Box_Regression_With_Uncertainty_for_Accurate_Object_Detection_CVPR_2019_paper.html,,,3,,118000,COCO test_dev,,,,GeForce GTX 1080 Ti,4,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.40,,,,,
"RDSNet (ResNet-101, RetinaNet, mask, MBRM)",2019,,RDSNet: A New Deep Architecture for Reciprocal Object Detection and Instance Segmentation,/paper/rdsnet-a-new-deep-architecture-for-reciprocal,https://arxiv.org/abs/1912.05070v1,,,3,,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.30,60.1,43,22.1,43.5,51.5
"Mask R-CNN (ResNet-101-FPN, CBN)",2020,,Cross-Iteration Batch Normalization,/paper/cross-iteration-batch-normalization,http://openaccess.thecvf.com//content/CVPR2021/html/Yao_Cross-Iteration_Batch_Normalization_CVPR_2021_paper.html,,,3,,118000,COCO test_dev,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.10,60.5,44.1,35.8,57.3,38.5
GA-Faster-RCNN,2019,,Region Proposal by Guided Anchoring,/paper/region-proposal-by-guided-anchoring,http://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Region_Proposal_by_Guided_Anchoring_CVPR_2019_paper.html,,,3,,118000,COCO test_dev,,,,GeForce Titan X,8,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.80,59.2,43.5,21.8,42.6,50.7
FPN (ResNet101 backbone),2017,,ChainerCV: a Library for Deep Learning in Computer Vision,/paper/chainercv-a-library-for-deep-learning-in,https://arxiv.org/abs/1708.08169v1,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.50,,,,,
AA-ResNet-10 + RetinaNet,2019,5.17E+07,Attention Augmented Convolutional Networks,/paper/190409925,http://openaccess.thecvf.com/content_ICCV_2019/html/Bello_Attention_Augmented_Convolutional_Networks_ICCV_2019_paper.html,2.45E+11,,3,150,118000,COCO test_dev,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+19,,19.11426061,,6.77E+19,,39.20,,,,,
WSMA-Seg,2019,,Segmentation is All You Need,/paper/segmentation-is-all-you-need,https://arxiv.org/abs/1904.13300v3,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.10,,,,,
Faster R-CNN + FPN + CGD,2019,,Compact Global Descriptor for Neural Networks,/paper/compact-global-descriptor-for-neural-networks,https://arxiv.org/abs/1907.09665,,,3,12,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.90,,,,,
DeformConv-R-FCN (Aligned-Inception-ResNet),2017,,Deformable Convolutional Networks,/paper/deformable-convolutional-networks,http://openaccess.thecvf.com/content_iccv_2017/html/Dai_Deformable_Convolutional_Networks_ICCV_2017_paper.html,,,3,,118000,COCO test_dev,,,,Tesla K40 ,8,4.29E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.50,58,,19.4,40.1,52.5
Faster R-CNN (ImageNet+300M),2017,,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era,/paper/revisiting-unreasonable-effectiveness-of-data,http://openaccess.thecvf.com/content_iccv_2017/html/Sun_Revisiting_Unreasonable_Effectiveness_ICCV_2017_paper.html,,,3,,118000,COCO test_dev,,,,Tesla K80,50,5.60E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.40,58,40.1,17.5,41.1,51.2
Faster R-CNN + TDM,2016,,Beyond Skip Connections: Top-Down Modulation for Object Detection,/paper/beyond-skip-connections-top-down-modulation,https://arxiv.org/abs/1612.06851v2,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.80,,,,,
"Faster R-CNN (box refinement, context, multi-scale testing)",2015,,Deep Residual Learning for Image Recognition,/paper/deep-residual-learning-for-image-recognition,http://openaccess.thecvf.com/content_cvpr_2016/html/He_Deep_Residual_Learning_CVPR_2016_paper.html,,,3,,118000,COCO test_dev,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.90,,,,,
Faster R-CNN,2016,,Speed/accuracy trade-offs for modern convolutional object detectors,/paper/speedaccuracy-trade-offs-for-modern,http://openaccess.thecvf.com/content_cvpr_2017/html/Huang_SpeedAccuracy_Trade-Offs_for_CVPR_2017_paper.html,,,3,,118000,COCO test_dev,,,,GeForce Titan X,9,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.70,,,,,
YOLOv3 + Darknet-53,2018,,YOLOv3: An Incremental Improvement,/paper/yolov3-an-incremental-improvement,https://arxiv.org/abs/1804.02767v1,1.46E+12,,3,,118000,COCO test_dev,,,,GeForce Titan X,1,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,,,,,
SSD512,2015,,SSD: Single Shot MultiBox Detector,/paper/ssd-single-shot-multibox-detector,https://arxiv.org/abs/1512.02325v5,,,3,,118000,COCO test_dev,,,,GeForce Titan X,,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.80,48.5,30.3,,,
MnasFPN (MobileNetV2),2019,2.50E+06,MnasFPN: Learning Latency-aware Pyramid Architecture for Object Detection on Mobile Devices,/paper/mnasfpn-learning-latency-aware-pyramid,http://openaccess.thecvf.com/content_CVPR_2020/html/Chen_MnasFPN_Learning_Latency-Aware_Pyramid_Architecture_for_Object_Detection_on_Mobile_CVPR_2020_paper.html,9.20E+08,,3,150,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89E+16,,16.68888235,,4.59E+17,,26.10,,,,,
ESPNetv2-512,2018,,"ESPNetv2: A Light-weight, Power Efficient, and General Purpose Convolutional Neural Network",/paper/espnetv2-a-light-weight-power-efficient-and,http://openaccess.thecvf.com/content_CVPR_2019/html/Mehta_ESPNetv2_A_Light-Weight_Power_Efficient_and_General_Purpose_Convolutional_Neural_CVPR_2019_paper.html,2.80E+09,,3,,118000,COCO test_dev,,,,GeForce GTX 1080 Ti,10,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,,,,,
YOLO v2 + Darknet-19,2016,,"YOLO9000: Better, Faster, Stronger",/paper/yolo9000-better-faster-stronger,http://openaccess.thecvf.com/content_cvpr_2017/html/Redmon_YOLO9000_Better_Faster_CVPR_2017_paper.html,,,3,160,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.60,,,,,
MobileNet,2017,,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,/paper/mobilenets-efficient-convolutional-neural,https://arxiv.org/abs/1704.04861v1,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.30,,,,,
IoU-Net+EnergyRegression,2019,,Energy-Based Models for Deep Probabilistic Regression,/paper/dctd-deep-conditional-target-densities-for,https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3472_ECCV_2020_paper.php,,,3,,118000,COCO test_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,41.8,,,
