name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,log10net,log10hw,computing_power,comments,relevant,(TOP 1 score),(TOP 5 score)
"SE-ResNeXt-101, 64x4d, S=2 (320px)",2021,9.80E+07,Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,/paper/splitnet-divide-and-co-training,https://arxiv.org/abs/2011.14660v3,3.82E+10,,3,350,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13E+19,,19.71046263,,2.0E+20,,,83.60,96.69
ResT-Large,2021,5.16E+07,ResT: An Efficient Transformer for Visual Recognition,/paper/rest-an-efficient-transformer-for-visual,https://arxiv.org/abs/2105.13677v3,7.90E+09,,3,300,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10E+18,,18.95907957,,4.5E+19,,,83.60,96.3
MultiGrain PNASNet (500px),2019,,MultiGrain: a unified image embedding for classes and instances,/paper/multigrain-a-unified-image-embedding-for,https://arxiv.org/pdf/1902.05509v2.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.60,96.7
CycleMLP-B,2021,7.60E+07,CycleMLP: A MLP-like Architecture for Dense Prediction,/paper/cyclemlp-a-mlp-like-architecture-for-dense,https://arxiv.org/abs/2107.10224,1.52E+10,,3,300,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75E+19,,19.24329607,,8.0E+19,,,83.40,
sMLPNet-B (ImageNet-1k),2021,6.59E+07,Sparse MLP for Image Recognition: Is Self-Attention Really Necessary?,/paper/sparse-mlp-for-image-recognition-is-self,https://arxiv.org/pdf/2109.05422v1.pdf,1.40E+10,,3,300,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61E+19,,19.20758051,,7.4E+19,,,83.40,
T2T-ViT-14|384,2021,2.15E+07,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet,/paper/tokens-to-token-vit-training-vision,https://arxiv.org/abs/2101.11986v2,,1.71E+10,3,310,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07E+19,,19.60971902,,1.7E+20,,,83.30,
CeiT-S (384 finetune res),2021,2.42E+07,Incorporating Convolution Designs into Visual Transformers,/paper/incorporating-convolution-designs-into-visual,https://arxiv.org/abs/2103.11816v2,1.29E+10,,3,300,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+19,,19.17204219,,6.9E+19,,,83.30,96.5
VisformerV2-S,2021,2.36E+07,Visformer: The Vision-friendly Transformer,/paper/visformer-the-vision-friendly-transformer,https://arxiv.org/pdf/2104.12533.pdf,4.30E+09,,3,300,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95E+18,,18.69492093,,2.7E+19,,,83.00,
PNASNet-5,2018,8.61E+07,Progressive Neural Architecture Search,/paper/progressive-neural-architecture-search,https://arxiv.org/abs/1712.00559,,2.50E+10,3,,1280000,ImageNet 1K,,,,Tesla P100 PCIe 16 GB,100,9.53E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.90,96.2
Oct-ResNet-152 (SE),2019,6.68E+07,Drop an Octave: Reducing Spatial Redundancy in Convolutional Neural Networks with Octave Convolution,/paper/drop-an-octave-reducing-spatial-redundancy-in,https://arxiv.org/abs/1904.05049,2.22E+10,,3,,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.90,96.3
GFNet-H-B,2021,5.40E+07,Global Filter Networks for Image Classification,/paper/global-filter-networks-for-image,https://arxiv.org/abs/2107.00645v1,8.60E+09,,3,300,1280000,ImageNet 1K,,,,GeForce RTX 3090,8,3.56E+04,,,,,,,,,,,,,,,,,,,,,,30,1280000,ImageNet 1K,,,,,,,,,,,,,1.09E+19,,19.03734362,,5.3E+19,,,82.90,96.2
TNT-B,2021,6.56E+07,Transformer in Transformer,/paper/transformer-in-transformer,https://arxiv.org/abs/2103.00112v2,1.41E+10,,3,253,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37E+19,,19.13667086,,6.5E+19,"14.1GFLOPS , 253 epochs (https://github.com/huawei-noah/CV, Backbones/blob/master/tnt_pytorch/train.py), 1.28M examples",,82.90,
"Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling)",2021,8.82E+07,Harmonic Convolutional Networks based on Discrete Cosine Transform,/paper/harmonic-convolutional-networks-based-on,https://arxiv.org/abs/2001.06570v2,3.14E+10,,3,100,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21E+19,,19.08126087,,5.8E+19,,,82.85,96.44
CrossViT-18+,2021,4.43E+07,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,/paper/2103-14899,https://arxiv.org/pdf/2103.14899.pdf,9.50E+09,,3,300,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,32,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09E+19,,19.03917608,,5.3E+19,,,82.80,
FunMatch - T384+224 (ResNet-50),2021,,Knowledge distillation: A good teacher is patient and consistent,/paper/knowledge-distillation-a-good-teacher-is,https://arxiv.org/abs/2106.05237v1,,,3,,1280000,ImageNet 1K,,,,,,,Cloud TPU v3,,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.80,
	CCT-14/7x2 | 384,2021,2.25E+07,Escaping the Big Data Paradigm with Compact Transformers,/paper/escaping-the-big-data-paradigm-with-compact,https://arxiv.org/pdf/2104.05704v3.pdf,,,3,,1280000,ImageNet 1K,,,,RTX A6000,8,4.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.71,
NASNET-A(6),2018,8.89E+07,Learning Transferable Architectures for Scalable Image Recognition,/paper/learning-transferable-architectures-for,https://arxiv.org/abs/1707.07012,,2.38E+10,3,,1280000,ImageNet 1K,4 days,3.46E+05,,Tesla P100 PCIe 16 GB,500,9.53E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6E+21,,21.21645432,1.6E+21,,,82.70,96.2
Container,2021,2.21E+07,Container: Context Aggregation Network,/paper/container-context-aggregation-network,https://arxiv.org/pdf/2106.01401v2.pdf,8.10E+09,,3,200,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22E+18,,18.79384624,,3.2E+19,,,82.70,
RVT-B*,2021,9.18E+07,Towards Robust Vision Transformer,/paper/rethinking-the-design-principles-of-robust,https://arxiv.org/abs/2105.07926v3,1.77E+10,,3,,1280000,ImageNet 1K,,,,GeForce RTX 2080 Ti,,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.60,96
LeViT-384,2021,3.91E+07,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,/paper/levit-a-vision-transformer-in-convnet-s,https://arxiv.org/abs/2104.01136v2,2.35E+09,,3,1000,1280000,ImageNet 1K,5 days,4.32E+05,,Tesla V100 PCIe 16 GB,32,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02E+18,2.0E+20,18.95539909,20.29077589,2.0E+20,,,82.60,
BossNet-T1+,2021,,BossNAS: Exploring Hybrid CNN-transformers with Block-wisely Self-supervised Neural Architecture Search,/paper/bossnas-exploring-hybrid-cnn-transformers,https://arxiv.org/abs/2103.12424v2,,1.05E+10,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.50,96
ConViT-B+,2021,1.52E+08,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,/paper/convit-improving-vision-transformers-with,https://arxiv.org/abs/2103.10697v2,3.00E+10,,3,300,1280000,ImageNet 1K,,,,Quadro GP100,8,1.03E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46E+19,,19.53857373,,1.4E+20,,,82.50,95.9
DeiT-B with iRPE-K,2021,8.70E+07,Rethinking and Improving Relative Position Encoding for Vision Transformer,/paper/rethinking-and-improving-relative-position,https://arxiv.org/pdf/2107.14222v1.pdf,,1.77E+10,3,300,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08E+19,,19.61045574,,1.7E+20,,,82.40,
AutoFormer-base,2021,5.40E+07,AutoFormer: Searching Transformers for Visual Recognition,/paper/autoformer-searching-transformers-for-visual,https://arxiv.org/pdf/2107.00651v1.pdf,1.10E+10,,3,300,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,,1.41E+04,,,,,,,,,,,,,,,,,,,,,,40,1280000,ImageNet 1K,,,,,,,,,,,,,1.44E+19,,19.15720283,,6.7E+19,,,82.40,95.7
	ColorNet,2019,5.40E+07,ColorNet: Investigating the importance of color spaces for image classification,/paper/colornet-investigating-the-importance-of,https://arxiv.org/pdf/1902.00267v1.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.35,94.78
GLiT-Bases,2021,9.61E+07,GLiT: Neural Architecture Search for Global and Local Image Transformer,/paper/glit-neural-architecture-search-for-global,https://arxiv.org/pdf/2107.02960v3.pdf,1.70E+10,,3,100,1280000,ImageNet 1K,,,,GeForce GTX 1080 Ti,,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53E+18,,18.81478015,,3.4E+19,,,82.30,
Evo-LeViT-384*,2021,,Evo-ViT: Slow-Fast Token Evolution for Dynamic Vision Transformer,/paper/evo-vit-slow-fast-token-evolution-for-dynamic,https://arxiv.org/pdf/2108.01390v4.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.20,
DIFFQ (λ=1e−2),2021,,Differentiable Model Compression via Pseudo Quantization Noise,/paper/differentiable-model-compression-via-pseudo,https://arxiv.org/abs/2104.09987,,,3,,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00,
DVT (T2T-ViT-19),2021,,Not All Images are Worth 16x16 Words: Dynamic Vision Transformers with Adaptive Sequence Length,/paper/not-all-images-are-worth-16x16-words-dynamic,https://arxiv.org/abs/2105.15075v1,,,3,,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.93,
AOGNet-40M-AN,2019,4.04E+07,Attentive Normalization,/paper/attentive-normalization,https://arxiv.org/pdf/1908.01259v3.pdf,7.51E+09,,3,200,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77E+18,,18.76100116,,3.0E+19,,,81.87,95.74
ResNet-200,2021,,Parametric Contrastive Learning,/paper/parametric-contrastive-learning,https://arxiv.org/pdf/2107.12028v2.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.80,
ResNet-50 + MEAL V2,2021,2.56E+07,MEAL V2: Boosting Vanilla ResNet-50 to 80+ Top-1 Accuracy on ImageNet without Tricks,/paper/meal-v2-boosting-vanilla-resnet-50-to-80-top,https://arxiv.org/abs/2009.08453v2,,,3,,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.72,95.81
T2T-ViT-14,2021,2.15E+07,Beyond Self-attention: External Attention using Two Linear Layers for Visual Tasks,/paper/beyond-self-attention-external-attention,https://arxiv.org/abs/2105.02358v2,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.70,
gMLP-B,2021,7.30E+07,Pay Attention to MLPs,/paper/pay-attention-to-mlps,https://arxiv.org/abs/2105.08050v2,,1.58E+10,3,300,1280000,ImageNet 1K,,,,,,,Cloud TPU v2,16,1.80E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64E+19,,19.56113956,,1.5E+20,,,81.60,
RandWire-WS,2019,6.15E+07,Exploring Randomly Wired Neural Networks for Image Recognition,/paper/exploring-randomly-wired-neural-networks-for,https://arxiv.org/pdf/1904.01569v2.pdf,1.60E+10,,3,100,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14E+18,,18.78845121,,3.2E+19,,,81.60,95.4
SKNet-101,2019,4.89E+07,Selective Kernel Networks,/paper/selective-kernel-networks,https://arxiv.org/pdf/1903.06586v2.pdf,8.46E+09,,3,100,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25E+18,,18.51170159,,1.8E+19,,,81.60,
CoE-Large 214 MFLOPs,2021,,Collaboration of Experts: Achieving 80% Top-1 Accuracy on ImageNet with 100M FLOPs,/paper/collaboration-of-experts-achieving-80-top-1,https://arxiv.org/pdf/2107.03815v1.pdf,2.14E+08,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.50,
PyConvResNet-101,2020,4.23E+07,Pyramidal Convolution: Rethinking Convolutional Neural Networks for Visual Recognition,/paper/pyramidal-convolution-rethinking,https://arxiv.org/abs/2006.11538v1,1.49E+10,,3,90,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15E+18,,18.71176,,2.8E+19,,,81.49,95.72
DPN-131 (320x320) With Mean-Max Pooling,2017,7.95E+07,Dual Path Networks,/paper/dual-path-networks,https://arxiv.org/abs/1707.01629,1.60E+10,,3,,1280000,ImageNet 1K,,,,Tesla K80,40,5.60E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.45,95.84
ResNet-200 (Supervised Contrastive),2020,,Supervised Contrastive Learning,/paper/supervised-contrastive-learning,http://proceedings.neurips.cc/paper/2020/hash/d89a66c7c80a29b1bdbab0f2a1a94af8-Abstract.html,,,3,,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.40,95.9
ResNet-200 (Adversarial Autoaugment),2019,,Adversarial AutoAugment,/paper/adversarial-autoaugment-1,https://arxiv.org/pdf/1912.11188v1.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.32,95.3
Very Deep PolyNet,2017,,PolyNet: A Pursuit of Structural Diversity in Very Deep Networks,/paper/polynet-a-pursuit-of-structural-diversity-in,https://arxiv.org/abs/1611.05725,,,3,,1280000,ImageNet 1K,,,,GeForce Titan X,8,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.29,95.75
Res2Net-101,2019,,Res2Net: A New Multi-scale Backbone Architecture,/paper/res2net-a-new-multi-scale-backbone,https://arxiv.org/pdf/1904.01169v3.pdf,,,3,,1280000,ImageNet 1K,,,,GeForce Titan Xp,4,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.23,94.43
ResNeXt-101 (Debiased+CutMix),2020,,Shape-Texture Debiased Neural Network Training,/paper/shape-texture-debiased-neural-network-1,https://openreview.net/forum?id=Db4yerZTYkz,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.20,
ResNet-152x2-SAM,2021,2.36E+08,When Vision Transformers Outperform ResNets without Pretraining or Strong Data Augmentations,/paper/when-vision-transformers-outperform-resnets,https://arxiv.org/abs/2106.01548v1,,,3,,1280000,ImageNet 1K,,,,,,,Cloud TPU v3,16,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.10,
RegNetY-32GF,2020,1.45E+08,Designing Network Design Spaces,/paper/designing-network-design-spaces,http://openaccess.thecvf.com/content_CVPR_2020/html/Radosavovic_Designing_Network_Design_Spaces_CVPR_2020_paper.html,3.23E+10,,3,100,1280000,ImageNet 1K,76 hours,2.74E+05,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24E+19,3.1E+19,19.09353375,19.49034824,3.1E+19,,,81.00,
ResMLP-B24,2021,1.29E+08,ResMLP: Feedforward networks for image classification with data-efficient training,/paper/resmlp-feedforward-networks-for-image,https://arxiv.org/abs/2105.03404v2,2.30E+10,,3,400,1280000,ImageNet 1K,2 days,1.73E+05,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53E+19,2.0E+19,19.54811905,19.29077589,2.0E+19,,,81.00,
ResNeXt-101 64x4,2017,8.36E+07,Aggregated Residual Transformations for Deep Neural Networks,/paper/aggregated-residual-transformations-for-deep,https://arxiv.org/abs/1611.05431,,,3,,1280000,ImageNet 1K,10 days,8.64E+05,,Tesla M40,8,6.84E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7E+19,,19.67491373,4.7E+19,,,80.90,95.6
"CentroidViT-S (arXiv, 2021-02)",2021,2.23E+07,Centroid Transformers: Learning to Abstract with Attention,/paper/centroid-transformers-learning-to-abstract,https://arxiv.org/abs/2102.08606v2,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.90,
LocalViT-S,2021,2.24E+07,LocalViT: Bringing Locality to Vision Transformers,/paper/localvit-bringing-locality-to-vision,https://arxiv.org/abs/2104.05707v1,4.60E+09,,3,300,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30E+18,,18.72421031,,2.8E+19,,,80.80,95.4
ResNet-200 (Fast AA),2019,,Fast AutoAugment,/paper/fast-autoaugment,https://arxiv.org/pdf/1905.00397v2.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.60,95.3
ResNeXt-101 (CutMix),2019,,CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features,/paper/cutmix-regularization-strategy-to-train,https://arxiv.org/abs/1905.04899,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.53,94.97
RepVGG-B3,2021,1.11E+08,RepVGG: Making VGG-style ConvNets Great Again,/paper/repvgg-making-vgg-style-convnets-great-again,http://openaccess.thecvf.com//content/CVPR2021/html/Ding_RepVGG_Making_VGG-Style_ConvNets_Great_Again_CVPR_2021_paper.html,2.62E+10,,3,200,1280000,ImageNet 1K,,,,GeForce GTX 1080 Ti,8,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01E+19,,19.30366251,,9.0E+19,,,80.52,
NAT-M4,2020,9.10E+06,Neural Architecture Transfer,/paper/neural-architecture-transfer,https://arxiv.org/abs/2005.05859v2,,6.00E+08,3,,1280000,ImageNet 1K,1 day,8.64E+04,,GeForce RTX 2080 Ti,8,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3E+18,,18.96822913,9.3E+18,,,80.50,95.2
Attention-92,2017,5.13E+07,Residual Attention Network for Image Classification,/paper/residual-attention-network-for-image,https://arxiv.org/pdf/1704.06904v1.pdf,1.04E+10,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.50,95.2
HCGNet-C,2019,4.22E+07,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,/paper/gated-convolutional-networks-with-hybrid,https://arxiv.org/pdf/1908.09699v3.pdf,7.10E+09,,3,630,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E+19,,19.23493012,,7.9E+19,,,80.50,95.2
ResNet-50+AutoDropout+RandAugment,2021,,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,/paper/autodropout-learning-dropout-patterns-to,https://arxiv.org/abs/2101.01761v1,,,3,,1280000,ImageNet 1K,,,,,,,Cloud TPU v2,1,1.80E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.30,
        Inception ResNet V2 (SENet),2019,,Squeeze-and-Excitation Networks,/paper/squeeze-and-excitation-networks,https://arxiv.org/abs/1709.01507,1.18E+10,,3,100,1280000,ImageNet 1K,,,,GeForce Titan X,8,1.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+18,,18.65621323,,2.5E+19,,,80.20,95.21
ConvMLP-L,2021,4.27E+07,ConvMLP: Hierarchical Convolutional MLPs for Vision,/paper/convmlp-hierarchical-convolutional-mlps-for,https://arxiv.org/pdf/2109.04454v2.pdf,,,3,,1280000,ImageNet 1K,,,,RTX A6000,8,4.00E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.20,
WideNet-H,2021,6.30E+07,Go Wider Instead of Deeper,/paper/go-wider-instead-of-deeper,https://arxiv.org/pdf/2107.11817v3.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,Cloud TPU v3,32,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,80.10,
Inception ResNet V2,2016,,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",/paper/learning-transferable-architectures-for,https://arxiv.org/abs/1707.07012,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10,95.1
ResNet-200,2016,,Identity Mappings in Deep Residual Networks,/paper/identity-mappings-in-deep-residual-networks,https://arxiv.org/pdf/1603.05027v3.pdf,,,3,,1280000,ImageNet 1K,3 weeks,1.81E+06,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.90,95.2
Modified Aligned Xception,2018,,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,/paper/encoder-decoder-with-atrous-separable,https://arxiv.org/pdf/1802.02611v3.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.81,94.83
iAFF-ResNeXt-50-32x4d,2020,3.47E+07,Attentional Feature Fusion,/paper/attentional-feature-fusion,https://arxiv.org/abs/2009.14082v2,4.30E+09,,3,160,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64E+18,,18.42191966,,1.5E+19,,,79.80,94.9
CSPResNeXt-50 + Mish,2019,,Mish: A Self Regularized Non-Monotonic Activation Function,/paper/mish-a-self-regularized-non-monotonic-neural,https://arxiv.org/pdf/1908.08681v3.pdf,,,3,,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.80,95.2
Grafit (ResNet-50),2020,,Grafit: Learning fine-grained image representations with coarse labels,/paper/grafit-learning-fine-grained-image,https://arxiv.org/abs/2011.12982v1,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.60,
TinyNet (GhostNet),2020,1.19E+07,"Model Rubik's Cube: Twisting Resolution, Depth and Width for TinyNets",/paper/model-rubik-s-cube-twisting-resolution-depth,https://arxiv.org/abs/2010.14819v2,5.91E+08,,3,450,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02E+18,,18.00913122,,6.7E+18,,,79.40,94.5
ScaleNet-152,2019,,Data-Driven Neuron Allocation for Scale Aggregation Networks,/paper/190409460,https://arxiv.org/pdf/1904.09460v1.pdf,1.12E+10,,3,100,1280000,ImageNet 1K,,,,GeForce GTX 1060,8,4.38E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30E+18,,18.63354925,,2.4E+19,,,79.38,94.66
LIP-ResNet-101,2019,4.29E+07,LIP: Local Importance-based Pooling,/paper/lip-local-importance-based-pooling,https://arxiv.org/pdf/1908.04156v3.pdf,9.06E+09,,3,,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.33,94.6
RedNet-152,2021,3.40E+07,Involution: Inverting the Inherence of Convolution for Visual Recognition,/paper/involution-inverting-the-inherence-of,http://openaccess.thecvf.com//content/CVPR2021/html/Li_Involution_Inverting_the_Inherence_of_Convolution_for_Visual_Recognition_CVPR_2021_paper.html,6.80E+09,,3,130,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,64,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39E+18,,18.53078349,,1.9E+19,,,79.30,
